object_id,name,cospar_id,object_class,mass_kg,shape,max_cross_section_m2,min_cross_section_m2,avg_cross_section_m2,diameter_m,height_m,width_m
14026,Soyuz T-8 orbital module,1983-035C,Payload,1248.76,Sphere,,,,,2.3,2.3
8930,Cosmos-838,1976-063A,Payload,3000.0,Cyl,,,,1.3,10.0,
8899,Voskhod operational debris,1976-055D,Rocket Mission Related Object,,,,,,,,
8900,Delta 2914 operational debris,1976-053E,Rocket Mission Related Object,,,,,,,,
8887,Cosmos-825,1976-054A,Payload,39.64,Sphere,,,,,0.8,0.8
8886,Delta 2914 operational debris,1976-053D,Rocket Mission Related Object,,,,,,,,
14023,Cosmos-1451 operational debris,1983-029D,Payload Mission Related Object,,,,,,,,
8853,Voskhod operational debris,1976-045C,Rocket Mission Related Object,,,,,,,,
8861,Blok-I (Soyuz SL-4 (A-2)),1976-048B,Rocket Body,3221.01,Cyl,,,,2.66,8.99,
8863,Cosmos-822,1976-049A,Payload,545.09,Sphere,,,,,2.0,2.0
8821,Cosmos-817,1976-040A,Payload,5847.37,Sphere + Cyl,,,,2.4,5.89,
8457,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),1975-112B,Rocket Body,1434.0,Cyl,,,,2.4,4.2,
8466,S73-6,1975-114B,Payload,270.0,Box + 2 Ant,,,,,0.5,1.5
15920,Cosmos-1668 operational debris,1985-060F,Payload Mission Related Object,,,,,,,,
8449,Blok-I (Soyuz-U),1975-110B,Rocket Body,2378.59,Cyl,,,,2.66,6.7,
8388,Delta 900 fragmentation debris,1972-058FG,Rocket Fragmentation Debris,,,,,,,,
8390,Delta 900 fragmentation debris,1972-058FJ,Rocket Fragmentation Debris,,,,,,,,
11194,Cosmos-880 fragmentation debris,1976-120Y,Payload Fragmentation Debris,,,,,,,,
11193,Cosmos-880 fragmentation debris,1976-120X,Payload Fragmentation Debris,,,,,,,,
8392,Delta 2310 debris,1974-089BW,Rocket Fragmentation Debris,,,,,,,,
8374,Delta 900 fragmentation debris,1972-058ES,Rocket Fragmentation Debris,,,,,,,,
8356,Proton-K 8S812 (Proton-K/DM),1975-097B,Rocket Body,4185.0,Cyl,,,,4.15,6.5,
8229,Cosmos-758 fragmentation debris,1975-080AK,Payload Fragmentation Debris,,,,,,,,
8208,Cosmos-758 fragmentation debris,1975-080N,Payload Fragmentation Debris,,,,,,,,
